Institution,Datenset,URL (CdV),Beschreibung,Beschreibung (ohne Zeichenbeschränkung),Zusammenfassung auf Englisch,Thema,Objekttypen,Lizenz der Mediendateien,Lieferformat der Metadaten,Metadaten-Schema,Kontrollierte Vokabulare,Lizenz der Metadaten,Titelbild (Filename),Kick-Off
Stadtarchiv Verden (Aller),"Gold- und Silberschmiede-Gesellen in der Stadt Verden, 1819-1867",https://codingdavinci.de/de/daten/gold-und-silberschmiede-gesellen-der-stadt-verden-1819-1867,"""Reisen bildet!"" – das wussten bereits die Handwerksgesellen im 19. Jahrhundert, die nach ihrer Freisprechung für einige Jahre auf die „Walz“ gingen. Den Gesellen bot sich so die Chance, verschiedene regionaltypische Arbeitspraktiken von den jeweiligen, ortsansässigen Handwerkern zu erlernen. Überregionaler und auch internationaler Wissenstransfer wurde durch diese Form der Arbeitsmigration ermöglicht. Die Stadt Verden war u.a. zentraler Anlaufpunkt für Gold- und Silberschmiedegesellen aus Deutschland und Teilen Europas – dies illustrieren die im Stadtarchiv Verden verwahrten Listen, in denen sich der Einzelne eigenhändig mit Namen, Herkunftsort sowie Datum der Ankunft eintragen musste. Die Liste von 1819 bis 1867 zeigt zudem, wie sich die politischen und sozialen Umbrüche dieser Epoche auf die Reisemöglichkeiten der Gesellen ausgewirkt haben. Insgesamt kann die vorindustrielle Migration respektive Mobilität einer bestimmten sozialen Gruppe im „Vormärz“ illustriert werden. Zur besseren geografischen Zuordnung wurden die heutigen (Bundes-)Länder in der Liste ergänzt.
Datenpräsentation beim Kick-Off von CdV Niedersachsen 2020",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Transport und Verkehr, Wirtschaft und Finanzwesen",,,CSV,,,CC BY-SA 4.0,,Niedersachsen 2020
Stadtmuseum Einbeck,Verpackungen,https://codingdavinci.de/de/daten/verpackungen,"In den Anfängen des Stadtmuseums wurden die Sammlungen in vielfältigen Behältnissen aufbewahrt: vor allem in Verpackungen für Rauchwaren, aber auch in zahlreichen Schachteln für Nahrungs- und Genussmittel, Medikamente und Schmuck. Daraus entstand ein eigener gezielt aufgebauter Sammlungsschwerpunkt mit Einbeck-Bezug. Hinzu kommen Verpackungen aus alter Zeit wie z.B. das Bierfass zum Transport des berühmten Einbecker Bieres bis nach Lettland oder Norwegen.
Datenpräsentation beim Kick-Off von CdV Niedersachsen 2020",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Transport und Verkehr, Wirtschaft und Finanzwesen","Bild, Foto eines 3D Sammlungsobjektes",CC BY-SA 4.0,XML,METS/MODS,"Geonames, GND",CC0 1.0,,Niedersachsen 2020
Stiftung AutoMuseum Volkswagen,VW Käfer-Variationen,https://codingdavinci.de/de/daten/vw-kaefer-variationen,"Das variabel nutzbare Fahrgestell des Volkswagen Käfers diente besonders im privaten Bereich für zahlreiche ungewöhnliche und teilweise einzigartige und kuriose Karosserieauf- und umbauten, die hier präsentiert werden.
Datenpräsentation beim Kick-Off von CdV Niedersachsen 2020",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Transport und Verkehr","Bild, Foto eines 3D Sammlungsobjektes",CC BY-SA 4.0,CSV,,,CC0 1.0,,Niedersachsen 2020
Universitätsarchiv Oldenburg,"Sonne und Wind, Gebäude wie Experiment: das Oldenburger Energielabor",https://codingdavinci.de/de/daten/sonne-und-wind-gebaeude-wie-experiment-das-oldenburger-energielabor,"Ein energieautarkes Gebäude schaffen – diese Idee ist heute noch so aktuell wie Anfang der 1980er Jahre, als eine Gruppe engagierter Forscher*innen das Energielabor an der Universität Oldenburg plante. Vor dem Hintergrund der Anti-Atomkraft-Bewegung ging es darum, echte Alternativen zur Kernkraft zu erforschen. Von seiner Fertigstellung 1982 bis zuletzt bot das 500qm große Gebäude nicht nur Studierenden und Lehrenden der Universität Oldenburg Platz, sondern war selbst interdisziplinäres Forschungsobjekt zum Thema „erneuerbare Energie- und Rohstoffquellen“. Forschung an und mit dem Gebäude ist nun schon seit Jahren nicht mehr durchgeführt worden, das Labor diente aber noch als gern genutzter Veranstaltungsort. Heute ist dies aufgrund baurechtlicher Vorgaben nicht mehr möglich. Das Energielabor steht somit vor einer ungewissen Zukunft.
Das Team des Universitätsarchivs Oldenburg möchte die Geschichte eines der ersten Oldenburger „Leuchttürme“ der Universitätsforschung soweit wie möglich dokumentieren. Im letzten Jahr hat das Archiv eine Mappe mit Fotos und Funktionsschaubildern zum Energielabor übernehmen können. Inzwischen ist die Sammlung durch die Baubeschreibung und aktuelle Bilder ergänzt worden und gibt nun einen ersten Einblick in die interessante Geschichte dieses besonderen Gebäudes mit heute noch aktuellem Thema.
Neben dem Ordner für die Metadaten gibt es einen Ordner für die Fotos und Funktionsschaubilder, einen für die Baubeschreibung sowie einen Ordner mit ergänzenden Artikeln, die bei Bedarf der weiteren Information über das Energielabor dienen.
Die Metadaten enthalten neben technischen Informationen zu den Unterlagen (Signatur, Größe des analogen Bildes, Ausführungsart (schwarz-weiß oder farbig) und deren Herstellung (Fotograf und Entstehungsdatum)) auch Informationen zum Bildinhalt (Titel).
Datenpräsentation beim Kick-Off von CdV Niedersachsen 2020",,,"Geschichte und Geografie, Technik und Wissenschaft","Bild, Foto eines 3D Sammlungsobjektes, Zeichnung, Plan",CC BY 4.0,CSV,,,CC0 1.0,,Niedersachsen 2020
Herzog August Bibliothek Wolfenbüttel,Herzog Augusts Bücherrad-Katalog,https://codingdavinci.de/de/daten/herzog-augusts-buecherrad-katalog,"Herzog Augusts sogenannter ""Bücherrad-Katalog"" in 6 Bänden (begonnen 1625, abgeschlossen nach 1719) eröffnet einen Zugang zur ""Bibliotheca Augusta"", der größten Büchersammlung des 17. Jahrhunderts in Deutschland (ca. 135.000 Titel in ca. 35.000 Bänden).
Der Katalog stellt eine Kombination von Standortkatalog und Akzessionsverzeichnis dar. Er umfasst insgesamt 7.121 Seiten, deren Zählung über die Bandgrenzen fortgeführt ist. Den größten Teil der Aufnahmen hat der Herzog selbst angefertigt (bis p. 3.692), im Übrigen waren verschiedene Schreiber, Bibliothekssekretäre und Bibliothekare an der Katalogisierung beteiligt.
Von besonderem Interesse sind die häufig vorkommenden Anmerkungen und Querverweise zu anderen Einträgen im Katalog. Aus diesen ergibt sich ein Netzwerk der Quellen in der Sammlung.
Die Daten umfassen:
die Bilder der digitalisierten Kataloge (6 Bände, zusammen über 7.000 Seiten, CC BY-SA 3.0)
die Metadaten zu den Katalogen (CC0)
mindestens für den ersten Band eine Transkription der Anmerkungen und Verweise in tabellarischer Form (CC BY)
einen Auszug aus dem OPAC mit den Titeln der August-Sammlung (CC0)
Datenpräsentation beim Kick-Off von CdV Niedersachsen 2020",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Sprache und Literatur","Text, Buch, Manuskript, Quelle, Verzeichnis",CC BY-SA 3.0 DE,"CSV, XML","METS/MODS, TEI",,CC0 1.0,,Niedersachsen 2020
Herzog Anton Ulrich-Museum,Herzog Anton Ulrich-Museum,https://codingdavinci.de/de/daten/herzog-anton-ulrich-museum,"Das Herzog Anton Ulrich-Museum zählt zu den großen Kunstmuseen Deutschlands. Im Jahr 1754 gegründet – nur ein Jahr nach dem British Museum in London - gehört es zu den ältesten öffentlich zugänglichen Museen in Europa.
Seinen Reichtum verdankt es der Sammelleidenschaft der Braunschweiger Herzöge. Auf den leidenschaftlichen Kunstliebhaber Herzog Anton Ulrich, Herzog von Braunschweig-Wolfenbüttel (1633-1714) geht ein Großteil der Sammlung zurück.
Im Gegensatz zu vielen modernen Museen hat es sich den Charakter einer Universalsammlung bewahrt. Neben Gemälden und Skulpturen großer Meister präsentiert es Grafik bis zur Gegenwart, internationales Kunsthandwerk mit Exponaten aus Ägypten, Asien oder Südamerika und eine außergewöhnliche Sammlung mittelalterlicher Kunst in der Burg Dankwarderode.
Das Museum zeigt etwa 4.000 Kunstwerke aus 3.000 Jahren von der Antike bis zur Gegenwart.
Das vorliegende Datenset umfasst eine repräsentative Auswahl der Kunstwerke: ein Gemälde, eine Grafik, eine Kugellaufuhr, eine ägyptische Skulptur und zwei Münzen.
Thematisch passendes Material:
KENOM – das virtuelle Münzkabinett
Städel-Museum
Datenpräsentation beim Kick-Off von CdV Niedersachsen 2020",,,"Geschichte und Geografie, Kunst und Kultur, Technik und Wissenschaft, Wirtschaft und Finanzwesen","Bild, Foto eines 3D Sammlungsobjektes, Gemälde, Druckgrafik, Video, Dokumentarfilm",CC BY-SA 4.0,"CSV, JSON, XML",LIDO,"Geonames, TGN",CC BY-SA 4.0,,Niedersachsen 2020
Museum August Kestner,Neu beleuchtet. Brot und Spiele im Alten Rom,https://codingdavinci.de/de/daten/neu-beleuchtet-brot-und-spiele-im-alten-rom,"In einer Zeit als elektrischer Strom und die Glühlampe gänzlich unbekannt waren, beleuchteten die Menschen ihre Räume mit u.a. mit Brennmaterial aus Pflanzenöl oder Talg. Dazu entwickelten sie entsprechende Behältnisse wie die Öllampen aus Ton – quasi die Glühbirne der Antike!
Diese in unendlicher Zahl hergestellten Alltagsgegenstände des antiken Rom erfüllten nicht nur den Zweck der Beleuchtung. Sie waren auch mit Bildern verziert, die auf unterschiedliche Bereiche des täglichen Lebens der Menschen vor rund 2.000 Jahren schließen lassen: Menschen bei der Arbeit, Tiere und Pflanzen. Wir greifen das Thema „panem et circenses“ (Brot und Circusspiele) heraus und begeben uns mit den Alten Römern ins Amphitheater und in den Circus, um uns die beliebten Gladiatorenkämpfe oder die wilden Wagenrennen anzuschauen.
August Kestner (1777–1853), dessen Sammlungen den Grundstock des heutigen Museum August Kestner bilden, hat über 300 solcher römischer Öllampen zusammengetragen, die sein Neffe Hermann Kestner (1810–1890) in Form von Tuschezeichnungen detailgetreu dokumentiert hat. Während die Öllampen im Museum August Kestner verwahrt werden, befinden sich die Zeichnungen in der Obhut des Stadtarchivs Hannover. Wir möchten ‚Original‘ und ‚Zeichnung‘ zusammenbringen und ein Stück antike Lebenskultur wieder lebendig werden lassen. Hier stehen die Lampen in erster Linie als Träger von Bildern, die spannende Geschichten erzählen.
Das Datenset besteht aus 102 hochauflösenden Fotodateien im TIF-Format.
Datenpräsentation beim Kick-Off von CdV Niedersachsen 2020",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Kunst und Kultur","Bild, Foto eines 3D Sammlungsobjektes, Zeichnung",CC BY-SA 4.0,CSV,,,CC0 1.0,,Niedersachsen 2020
Georg-August-Universität Göttingen – Physicalisches Cabinet,Instrumente der Experimentalphysik Georg Christoph Lichtenbergs,https://codingdavinci.de/de/daten/instrumente-der-experimentalphysik-georg-christoph-lichtenbergs,"Das Datenset zeigt Demonstrationsexperimente bzw. Teile von Demonstrationsexperimenten, die Georg Christoph Lichtenberg Ende des 18. Jahrhunderts in seiner damals bahnbrechenden Vorlesung ""Experimentalphysik"" gezeigt hat. Sie geben damit einen Einblick in den damaligen Stand der Physik und ihrer Darstellung. Zu allen Objekten existieren professionelle Fotografien, teilweise auch aus mehreren Perspektiven.
Datenpräsentation beim Kick-Off von CdV Niedersachsen 2020",,,"Bildung und Erziehung, Geschichte und Geografie, Technik und Wissenschaft","Bild, Foto eines 3D Sammlungsobjektes",CC BY-SA 4.0,"JSON, XML",LIDO,,CC0 1.0,,Niedersachsen 2020
Schloss Evenburg,Spielhaus Schloss Evenburg,https://codingdavinci.de/de/daten/spielhaus-schloss-evenburg,"Im Park von Schloss Evenburg hat der Schlossherr Carl Georg von Wedel 1897 ein Spielhaus für seine Enkelkinder bauen lassen. Der Schlossherr hat das Schloss sehr konsequent im neugotischen Stil gestalten lassen. Der Park entsprach dem Ideal der Englischen Landschaftsarchitektur. Das Spielhaus war ebenfalls sehr liebevoll gestaltet und für fast 100 Jahre ein prägendes Element der Parkarchitektur. In den Jahren nach dem 2. Weltkrieg hat man das Spielhaus sogar bewohnt. In den Folgejahren verwilderte der Park und wurde zu einem phantastischen Spielort für Generationen von Nachbarskindern. 1987 war die Bausubstanz so schlecht, dass der Abriss erfolgte. In den letzten zwei Jahrzehnten sind der Park und das Schloss sehr schön restauriert worden. Eine „Wiederherstellung“ des Spielhauses ist ein oft geäußerter Wunsch. Das Datenset besteht aus Fotos von historischen Postkarten und der Familie sowie aktuellen Fotos vom Standort im Park und einem Aufmaß des Gebäudes.
Datenpräsentation beim Kick-Off von CdV Niedersachsen 2020",,,"Bildung und Erziehung, Geschichte und Geografie, Gesellschaft und Alltagsleben, Kunst und Kultur","Bild, Foto eines 3D Sammlungsobjektes",CC0 1.0,CSV,,,CC0 1.0,,Niedersachsen 2020
Braunschweigisches Landesmuseum,„Uniformierte Zivilisten“ - Die Ziviluniformen des Herzogtums Braunschweig,https://codingdavinci.de/de/daten/uniformierte-zivilisten-die-ziviluniformen-des-herzogtums-braunschweig,"Der Ziviluniformbestand des Braunschweigischen Landesmuseums wurde im Rahmen eines Forschungsprojektes umfangreich erforscht und dokumentiert. Für Coding da Vinci Niedersachsen 2020 stellt das BLM einen Ausschnitt aus diesem Bestand zur Verfügung, der die komplexe Hierarchisierung in der Gesellschaft des 19. Jahrhunderts zeigt.
Nach der Einführung von Ziviluniformen im Umfeld der französischen Revolution führten alle deutschen Staaten bis in die 1830er Jahre eine Beamten-Uniform ein. Die Uniformierungen standen in Verbindung mit der Gründung des Deutschen Bundes und waren optisch eine Vereinheitlichung der Beamten als Reaktion auf das herausragende Renommee des Militärs.
Neben den Beamtenuniformen für den alltäglichen Dienst, verfügten Beamte des gehobenen und höheren Dienstes über Galauniformen für besondere Anlässe. Die Galauniform dokumentierte die Hoffähigkeit ihres privilegierten Trägers in der ständischen Gesellschaftsordnung.
Das Herzogtum Braunschweig gehörte bei der Einführung von Ziviluniformen zu den „Nachzüglern“: Die 81 Uniformbestandteile des Datensets fallen in den Zeitraum zwischen Mitte des 19. Jahrhunderts und dem Ende des Herzogtums im Jahr 1918. Das Datenset umfasst zum einen Fotografien von vollständig rekonstruierten Uniformensembles (bestehend aus Hose, Uniformrock, Kopfbedeckung, ggf. Weste und Seitenwaffe), die größtenteils sogar ihren ehemaligen Trägern zugeordnet werden können, sowie zum anderen von einzelnen Uniformröcken und Livreen. Das eigenständige Design der Uniformen verweist auf den Versuch, die braunschweigische Identität vor allem gegenüber Preußen zu bewahren.
Datenpräsentation beim Kick-Off von CdV Niedersachsen 2020",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Politik und Militär","Bild, Foto eines 3D Sammlungsobjektes",CC BY-SA 3.0 DE,CSV,,"AAT, GND",CC BY-SA 3.0 DE,,Niedersachsen 2020
Wendland-Archiv,Fotografien von 1910-1914 aus dem Landkreis Lüchow-Dannenberg (Hannoversches Wendland),https://codingdavinci.de/de/daten/fotografien-von-1910-1914-aus-dem-landkreis-luechow-dannenberg-hannoversches-wendland,"Die Bewohner eines Gebäudes präsentieren sich mit Statussymbolen vor ihrem Objekt. Die Fotoserie, ausgewählt aus 25.000 historischen Motiven im wendland-archiv.de, verbindet die Art der Aufnahme, der kurze Zeitraum, in dem sie entstanden sind, und die Qualität der als Postkarte produzierten Vervielfältigung im Kontaktverfahren, die viele Details in der Vergrößerung erkennen lässt. Die damaligen Fotografen haben die Wintermonate für die Erstellung genutzt. Die Gebäude sind durch die unbelaubten Bäume besser erkennbar und die überwiegend in der Landwirtschaft tätigen Personen hatten nur dann die Zeit für eine solche Aktion. Die Metadaten benennen den Ort, Bildtitel und Beschreibungstext enthalten Informationen zur Adresse und den abgebildeten Personen und Gegenständen. Die Jahreszahl resultiert aus dem Absendedatum der Postkarte.
Die Motive liegen als Scan in hoher Auflösung vor und sind alle bereits auf der Website wendland-archiv.de veröffentlicht. Das Projekt hat es sich zur Aufgabe gemacht, das ""Gedächtnis einer Region"" zu werden. Neben Fotografien werden Kirchenbucheinträge, Haus-Balkeninschriften, Literaturverzeichnisse und Artikel zum Landkreis Lüchow-Dannenberg auf der Website veröffentlicht. Über Kommentarfunktionen können Besucher weitere Informationen hinzufügen.",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben","Bild, Scan eines Fotos",CC BY 4.0,"CSV, XLS",,,CC0 1.0,,Niedersachsen 2020
Georg-August-Universität Göttingen – Zentrale Kustodie,Botanische Lehrtafeln der Uni Göttingen,https://codingdavinci.de/de/daten/botanische-lehrtafeln-der-uni-goettingen,"Die Universität Göttingen (Zentrale Kustodie) bewahrt eine Sammlung von über 2.000 Lehrtafeln, die seit dem Ende des 19. Jahrhunderts in der Lehre der Botanik eingesetzt wurden. Dazu wurden einerseits publizierte Reihen von Lehrtafeln angeschafft, andererseits wurden kontinuierlich, teils von den Forschenden und Lehrenden selbst, meist von den Zeichnern des Instituts individuelle Tafeln für die Verwendung im Hörsaal angefertigt. Das ebenso informative wie ästhetische Bildmaterial bietet einen Überblick über Gegenstände, Themen und Darstellungsformen aus der wissenschaftlichen Lehre der Botanik eines Jahrhunderts am Göttinger Albrecht von Haller-Institut für Pflanzenwissenschaften.
Das Datenset zeichnet sich durch hochauflösende und standardisierte Repro-Fotografien aus, die sich z.B. zur ästhetischen grafischen Nachnutzung anbieten, aber auch für Verfahren der Schrifterkennung und digitalen Bildanalytik geeignet sind. Sämtliche Bilder sind entweder gemeinfrei oder CC BY-SA-lizenziert sowie innerhalb des International Image Interoperability Frameworks (IIIF) nutzbar. Der informative Gehalt der Objekte steckt wesentlich in den bildlichen Darstellungen selbst, die oftmals detailliert beschriftet sind. Als komplexe Hybride von Bild und Schrift verbinden die Lehrtafeln unterscheidliche Darstellungsweisen (Ansichten, Schnitte, Detailvergrößerungen, Schemata etc.) über Indexe und Legenden in der Fläche zu visuellen Argumentationen bzw. Lehrpfaden, die der menschlichen Beobachtung an der Pflanze folgen und die Wissensvermittlung anleiten. Eine digitale Indexierung, zonierte Annotation und Verlinkung mit offenen Daten der Botanik könnte dieses Medium und seinen visuellen Reichtum ins 21. Jahrhundert heben.",,,"Bildung und Erziehung, Kunst und Kultur, Natur und Naturkunde","Bild, Zeichnung",CC BY-SA 4.0,"JSON, XML",LIDO,Geonames,CC0 1.0,,Niedersachsen 2020
Historisches Museum Hannover,Bier aus Hannover,https://codingdavinci.de/de/daten/bier-aus-hannover,"Hannovers Bierbrauer können auf eine lange Tradition zurückblicken.
Bereits 1526 erfand Cord Broyhan ein helles obergäriges Bier, das heute zusammen mit einem Glas Korn als Hannovers Kultgetränk „Lüttje Lage“ in aller Welt bekannt ist. 20 Jahre später, 1546, gründete er gemeinsam mit anderen Braumeistern die Brauergilde, aus der später die Gilde Brauerei in der Südstadt wurde. Hannovers zweite Großbrauerei, die Privatbrauerei Herrenhausen, braut seit 1868 ihr Bier im Nordwesten der Stadt ganz in der Nähe der weltberühmten Herrenhäuser Gärten.
Die Lindener Aktien-Brauerei von 1853 wurde 1926 von der Gilde-Brauerei übernommen, die Braustätte in Linden wurde abgerissen, das Lindener Spezial wird aber heute noch gebraut.
Andere Traditionsbrauereien wie etwa die 1889 in Ricklingen eröffnete Kaiser-Brauerei und die Lagerbier-Brauerei-Wülfel von 1906 mussten mit der Zeit ihre Zapfhähne trocken legen und sind mittlerweile Geschichte.
Unser Datenset besteht aus 50 Aufnahmen im Tiff-Format bei 300dpi mit dazugehörigen Informationen zu den Objekten und zur Geschichte der Brauereien.",,,"Geschichte und Geografie, Wirtschaft und Finanzwesen","Bild, Foto eines 3D Sammlungsobjektes, Druckgrafik",CC BY-SA 4.0,CSV,,,CC0 1.0,,Niedersachsen 2020
Georg-Eckert-Institut – Leibniz-Institut für internationale Schulbuchforschung,Fibeln Deutsches Kaiserreich,https://codingdavinci.de/de/daten/fibeln-deutsches-kaiserreich,"Die Forschungsbibliothek des Georg-Eckert-Instituts – Leibniz-Institut für internationale Schulbuchforschung (GEI) bietet in seiner digitalen Schulbuchbibliothek GEI-Digital Zugang zu historischen deutschen Schulbüchern ausgewählter Fächer.
Aufwendig illustrierte Fibeln, vielfach auch als ABC-Bücher oder Erstlesebücher bezeichnet, werden zum Erlernen des Lesens eingesetzt und sind für viele Schüler*innen in ihrer Erinnerung prägend. Sie verfügen neben Schreibtafeln für das Erlernen von Druckschriften, wie Antiqua und Fraktur, auch über Vorlagen für Schreibschriften. Das zusammengestellte Datenset umfasst 99 Fibeln aus der Epoche des deutschen Kaiserreichs von 1871 bis 1918.
Thematisch passen zu diesem Datenset die Lesebücher aus dem deutschen Kaiserreich – ebenfalls vom GEI.",,,"Bildung und Erziehung, Gesellschaft und Alltagsleben, Medien und Information, Sprache und Literatur","Text, Buch, Lehrmittel und Einführungen",public domain,,"DC, MARC, METS/MODS",,CC0 1.0,,Niedersachsen 2020
Georg-Eckert-Institut – Leibniz-Institut für internationale Schulbuchforschung,Lesebücher Deutsches Kaiserreich,https://codingdavinci.de/de/daten/lesebuecher-deutsches-kaiserreich,"Die Forschungsbibliothek des Georg-Eckert-Instituts – Leibniz-Institut für internationale Schulbuchforschung (GEI) bietet in seiner digitalen Schulbuchbibliothek GEI-Digital Zugang zu historischen deutschen Schulbüchern ausgewählter Fächer.
Innerhalb der Gattung Schulbücher nehmen Lesebücher aufgrund ihrer starken Verbreitung eine besondere Rolle ein. Sie bestehen meist aus sogenannten Lesestücken, die sich inhaltlich oft auf Aspekte der Moral, Erziehung und Gesellschaft beziehen. Auch Gedichte und Gebete gehören zum Inhalt von Lesebüchern. Eingesetzt wurden sie im Deutschunterricht sowohl zum Lernen und Üben des Lesens als auch zur Beschäftigung mit literarischen Texten. Das Datenset beinhaltet über 1.500 deutsche Lesebücher aus der Zeit des Kaiserreichs zwischen 1871 und 1918.
Die digitalisierten Lesebücher stehen auch als Volltexte zur Verfügung.
Thematisch passen zu diesem Datenset die Fibeln aus dem deutschen Kaiserreich – ebenfalls vom GEI.",,,"Bildung und Erziehung, Geschichte und Geografie, Gesellschaft und Alltagsleben, Kunst und Kultur, Medien und Information, Religion und Weltanschauung","Text, Buch, Lehrmittel und Einführungen",public domain,XML,"DC, MARC, METS/MODS",,CC0 1.0,,Niedersachsen 2020
Bibliothèque nationale du Luxembourg,Digitalisierte historische luxemburgische Zeitungen,https://codingdavinci.de/de/daten/digitalisierte-historische-luxemburgische-zeitungen,"Die Nationalbibliothek von Luxemburg hat seit 2002 eine große Menge historischer Dokumente wie Zeitungen, Monographien, Manuskripte, Postkarten und sogar Plakate digitalisiert. Alle digitalisierten Dokumente können auf den Plattformen a-z.lu und eluxemburgensia.lu eingesehen werden. Außerdem sind einige Datensätze gemeinfrei und werden auf dieser Webseite zur Verfügung gestellt.
Diese Datensätze sind größtenteils digitalisierte Zeitungen, die im Nachhinein digitalisiert wurden. Für jede Journalnummer liegen folgende Daten vor:
XML-Dateien (METS / ALTO-Format), die die Metadaten des Dokuments, die Seitenstruktur, die Segmentierung auf Artikelebene und die vollständige OCR-Texterkennung mit Koordinaten für jedes Wort beschreiben
Hochaufgelöste Originalbilder im TIFF-Format
Gesamtdokument als PDF-Datei mit OCR-Texterkennung und 1 PDF pro Seite
- andere abgeleitete Bilder (schwarzweiße PNG, Miniaturansicht als .JPEG)",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Medien und Information","Text, Amtliche Publikation, Druckwerk, Quelle",public domain,XML,"DC, METS/MODS",,CC0 1.0,,Saar-Lor-Lux 2020
Bibliothèque nationale du Luxembourg,Journaux historiques luxembourgeois numérisés,https://codingdavinci.de/fr/daten/journaux-historiques-luxembourgeois-numerises,"Depuis 2002, la Bibliothèque nationale du Luxembourg numérise une grande quantité de documents historiques tels que des journaux, monographies, manuscrits, cartes postales et même des affiches. Tous les documents numérisés sont disponibles à la consultation sur les plateformes a-z.lu et eluxemburgensia.lu. De plus, certains jeux de données sont dans le domaine public et sont mises à disposition sur ce site.
Ces jeux de données sont essentiellement des journaux numérisés issus du processus de numérisation. Pour chaque numéro de journal, il y a les données suivantes:
Fichiers XML (Format METS/ALTO) décrivant les métadonnées du document, la structure des pages, la segmentation au niveau de l'article, l'OCR complet avec coordonnées pour chaque mot.
Images originales haute-résolutions scannées en format TIFF
PDFs du document complet avec OCR et 1 PDF par page.
D'autres images dérivées (PNG noir et blanc, thumbnail en JPEG)",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Medien und Information","Text, Amtliche Publikation, Druckwerk, Quelle",public domain,XML,"DC, METS/MODS",,CC0 1.0,,Saar-Lor-Lux 2020
Centre international d'art verrier (CIAV),Collection verre du Musée de Meisenthal,https://codingdavinci.de/fr/daten/collection-verre-du-musee-de-meisenthal,"Ce jeu de données est constitué d’une série de photographies numériques présentant des pièces en verre de style « Art nouveau » produites par la Verrerie de Meisenthal à la fin du XIXe début du XXe siècle. Les pièces sont produites sous la direction d’Emile Gallé et ses collaborateurs Désiré Christian et Eugène Kremer jusqu’en 1894, date à laquelle Emile Gallé créé sa propre cristallerie à Nancy. C’est alors Désiré Christian qui prend la direction de l’atelier d’art de la verrerie de Meisenthal et produit, pour le compte de la Société Burgun Schverer & Cie, des verreries artistiques de style Art nouveau. Les pièces issues de cette production portent la marque ""Verrerie d’art de Lorraine, Burgun Schverer & Co"" accompagné le plus souvent d'une croix de Lorraine et d'un chardon. Cette production prendra fin en 1903.
En parallèle cette production de verrerie d’art, la Verrerie de Meisenthal continue à produire, en masse, du verre utilitaire tel que des services de table, des pièces en verre moulé-pressé, des verres publicitaires à usage des brasseries distilleries ou encore des articles spéciaux à destination des hôteliers, compagnies maritimes, aériennes et ferroviaires. La verrerie fermera en 1969.",,,Kunst und Kultur,"Bild, Foto eines 3D Sammlungsobjektes",CC BY 3.0,XLS,,,CC0 1.0,,Saar-Lor-Lux 2020
Centre international d'art verrier (CIAV),Glassammlung des Meisenthaler Museums,https://codingdavinci.de/de/daten/glassammlung-des-meisenthaler-museums,"Dieser Datensatz besteht aus einer Reihe digitaler Fotografien, die Glasstücke im Jugendstil zeigen, die Ende des 19. und Anfang des 20. Jahrhunderts von der Meisenthaler Glasfabrik hergestellt wurden. Die Stücke wurden unter der künstlerischen Leitung von Emile Gallé und seinen Mitarbeitern Désiré Christian und Eugène Kremer hergestellt, bis Emile Gallé 1894 seine eigene Glas-Manufaktur in Nancy gründete. Damals übernahm Désiré Christian die Leitung der Glaswerkstatt in Meisenthal und produzierte im Auftrag der Firma Burgun Schverer & Cie künstlerische Glaswaren im Jugendstil. Die Stücke aus dieser Produktion trugen die Marke ""Verrerie d'art de Lorraine, Burgun Schverer & Cie"", meist begleitet von einem lothringischen Kreuz und einer Distel. Die Produktion endete im Jahre 1903.
Neben dieser Produktion von Kunstglaswaren produziert die Meisenthaler Glasfabrik weiterhin Gebrauchsglaswaren wie Tafelservice, Teile aus geformtem und gepresstem Glas, Werbegläser für Brauereien, sowie Spezialartikel für Hoteliers, Reedereien, Flug- und Zuggesellschaften. Die Glasfabrik schließt 1969.",,,Kunst und Kultur,"Bild, Foto eines 3D Sammlungsobjektes",CC BY 3.0,XLS,,,CC0 1.0,,Saar-Lor-Lux 2020
