Name,URL (CdV),Kurzbeschreibung,Beschreibung,Links,Lizenz des Quellcodes,Datensätze,Projekttyp,Bild,Event
IndiviDUALbooks,https://codingdavinci.de/de/projekte/individualbooks,"We enable TDM via digitising books/ texts for private use by millions of students, incentivized to scan books by smartphone in READ-COOP_Transkribus","Our idea: new business model, technology, AR button, app
- world dispersed books become accessible via local Public Library (PL), for free, adjusted to unique user's needs, with fair author royalties
- IndiviDUALbooks / OpenEurope books / ŒBœks™.
When a book in ACCESSIBLE format isn't available from a local PL/university,
PL app user sees MyData Button in AR at screen, in TORI (TOpRIght corner) of a book's cover image = books-as-interfaces.
In2clicks PL user orders the needed book in DUAL format, i.e. physical + digital, 2in1, at paper and/or as generic book's digital twins (eBook, audiobook in Text-to-Speech), as user wishes.
Our technology provides DUALbook production less costly than legacy PL models,
e.g. at one-tenth of a book life cycle costs of a legacy PL: https://bit.ly/oeBookPitch4Investor.
It is delivered to PL patron's home or to a Smart Post box nearby, with a unique access code (2D-code) at a one-sheet mailer.
We have sold every piece of ŒBœk™ technology, as separate products from Finland*
- but we haven't yet implemented the complete product, integrating all the pieces of ŒBœk™
- we need ca. 30K euro to develop the DWeb software (PDS app) by UPC Oy, Finland: https://bit.ly/oeBook4NGILedger.
At CdV I explain how our technology enables mass digitization, by 2 datasets (slide 5 https://bit.ly/oeBook4CdVppt), leveraging the success story of Vienna address books digitizing by hundreds of volunteers. Our product's specialty for CdV is mass incentivizing model: we'll seamlessly engage millions of students by #Scan3Books4PlanS, Open Access model.
A student scans 3 books by smartphone (10 min. / 400 pages) & co-owns 3rd (text-)book, as gift via global library MyData coop, Public-Private-PEOPLE partnership https://polypoly.coop/en-de/.
I'm a non-profit (MyData Global) Founder https://mydata.org/founders/,
our aim: human-centric personal data processing solutions e.g.
ŒBœks™/SMART PAPER story:
* http://www.smartpaper.fi/en/misc/case-stories",IndiviDUALbooks project description (https://devpost.com/software/individualbooks),"Apache License 2.0, MIT license",Die Kölnische Zeitung (Zeitraum 1803-1871),"application, AR, data enrichment, mobile app, tool, web app","3d-self-print-your-book_mydata-individualboeks.jpg, CC BY 4.0, Vladimir Kuparinen",Nieder.Rhein.Land 2021
Pallenberg Dias - ein illustriertes VR Erlebnis,https://codingdavinci.de/de/projekte/pallenberg-dias-ein-illustriertes-vr-erlebnis,Das Projekt lässt Museumsbesuchende in eine Szenerie der Dias von Josef Pallenberg eintauchen und verbindet Illustration mit einem VR Erlebnis.,"Im Projekt ""Pallenberg Dias - ein illustriertes VR Erlebnis"" werden den Betrachtenden Einblicke in die Arbeiten von Josef Pallenberg durch das visuelle Eintauchen in seine Dias eröffnet.
Die Betrachtenden starten mit der VR-Anwendung im Arbeitszimmer von Josef Pallenberg und haben die Möglichkeit, einige seiner Dias in einen vor ihnen befindenden Diaprojektor zu legen. Durch das an der Wand erscheinende Dia können sie in eine zeichnerisch umgesetzte Szenerie gelangen, in der die Option besteht, mit deren Umwelt zu interagieren. Zudem ist in jeder gezeigten Umgebung Josef Pallenberg versteckt, sodass Fragen zu seinen Arbeiten gestellt werden können.
Auf diese Weise werden die Betrachtenden selbst zu Akteuren. Sie können selbst etwas in Erfahrung bringen sowie Josef Pallenberg bei seinen Forschungen begleiten.
Meine Motivation zu diesem Projekt ist es, Ausstellungen interaktiver zu gestalten und die Illustration zu einer bewegten VR Erfahrung für Museumsbesuchende zu machen.
Gerne würde ich meine Kenntnisse erweitern und über meine Arbeiten als Illustratorin und Designerin hinaus auch Einblicke in die technischen Möglichkeiten der Umsetzung in diesem Kontext erhalten. Wenn möglich, würde ich das Projekt gern mit Fachkräften aus dem Bereich der Informatik realisieren.",,,,VR,"360-vr-pallenberg-anfangsszenario_titelbild1.png, CC BY 4.0, Pia Mennemeier",Nieder.Rhein.Land 2021
Kleinanzeigen aus dem Vorwärts von 1891,https://codingdavinci.de/de/projekte/kleinanzeigen-aus-dem-vorwaerts-von-1891,Einblicke in das Alltagsleben im sozialdemokratischen Milieu vor 130 Jahren,"Das Projekt möchte einen genaueren Blick auf Kleinanzeigen ermöglichen, die vor über 100 Jahren aufgegeben wurden. Sie werden in einer Galerie von Zeitungsseiten präsentiert, bei denen die einzelnen Anzeigen anklickbar sind, wodurch sie allein, mit ihrem durch OCR erkannten Text zu sehen sind. Es ist auch möglich nach Wörtern in den Kleinanzeigen zu suchen.
Die Motivation für das Projekt kommt aus einem Interesse an der Textform und was sich daraus über den Alltag zu dieser Zeit erfahren lässt. Es werden viele heute (wahrscheinlich) unbekannte oder unübliche Berufe erwähnt, die Tagungen abhalten. Menschen entschuldigen sich per Kleinanzeige für eine Beleidigung oder lassen wissen, dass sie gerade zur Kur gefahren sind.
Technische Umsetzung: Die OCR-Daten und Metainformationen über die einzelnen Anzeigen wurden in eine Datenbank übertragen, um sie leicht durchsuchbar und darstellbar zu machen. Die einzelnen Bilder der Anzeigen wurden aus den Scans der ganzen Zeitungsseiten freigestellt. Die Webapp wurde mit den Framework Django programmiert.
Durch die Darstellungs- und einfache Suchmöglichkeit gibt es einen neuen Zugang zu den Kleinanzeigen. Die OCR ist leider nicht sehr gut. Hier wäre es interessant Verbesserungsmöglichkeiten zu finden, das könnte technische Ansätze sein, aber vielleicht lässt sich auch ein Weg finden, wie die interessierte ""Crowd"" einen Beitrag leisten kann.
Wenn die Kleinanzeigen auf thematische klassifiziert werden könnten, wäre das ein weiterer spannender Zugang.
Viele Anzeigen haben einen zeitlichen und räumlichen Bezug. Diese Informationen zu extrahieren bietet weitere Möglichkeiten, die Daten in einen Kontext zu setzen:
* Eine Timeline von Anzeigen, die ein Datum haben
* Eine Karte von Orten, die in Anzeigen erwähnt werden",Quellcode (https://github.com/staeff/vorwaerts-gallery),MIT license,"Gedrucktes Alltagsleben - Kleinanzeigen aus dem ""Vorwärts""","data enrichment, web app, website","bildschirmfoto-2021-11-04-um-10.58.32.png, CC BY 4.0, Archiv der sozialen Demokratie",Nieder.Rhein.Land 2021
Kunterbunt,https://codingdavinci.de/de/projekte/kunterbunt,Gestalte die Dionysos-Mosaike mit frischen Farben neu und ergänze fehlerhafte Stellen nach deinen Vorstellungen.,"Das Dionysos-Mosaik in Köln besteht aus über 1,5 Millionen Steinen. Leider enthält es einige Fehlstellen und keiner weiß, wie die Motive in der ehemaligen römischen Stadtvilla einmal vollständig ausgesehen haben. Jetzt kannst du die leeren Stellen im Mosaik kreativ füllen. Wähle eine Farbe und färbe die fehlenden Steine zu einem neuen Gesamtkunstwerk zusammen.
Mit Kunterbunt ist eine Web-Applikation entstanden, die nicht nur die fehlenden Steine im Mosaik ergänzen kann. Du kannst jeden beliebigen Stein im Mosaik umfärben. Für deine Kreativität stehen mehrere Teil-Motive des großen Mosaiks und eine große Auswahl an wohlabgestimmten Farbpaletten zur Verfügung. Wähle selbst, ob du kolorierte oder komplett weiße Steine als Vorlage haben möchtest.
Egal ob am PC, Tablet oder Smartphone - malen kannst du überall. Da jeder Stein per Hand für die Malvorlage nachgemalt wurde, entstehen hochaufgelöste Bilder, die du mit deinen Freund:innen teilen und ausdrucken kannst.
Motive mit wenigen Steinen sind besser für Einsteiger geeignet; und für Kinder. Das Deutsche Technikmuseum bietet für Kinder spezielle Ausmalbilder mit Pixeln an. Diese sind in der App bereits integriert.
Der Kern der Anwendung hat sich zu einer JavaScript-Bibliothek zum editieren/färben von beliebigen SVG-Grafiken entwickelt, mobile first und touch-freundlich. Es macht Sinn diesen Teil in Zukunft auszulagern und zum Beispiel als npm-Paket anderen Projekten und Webseiten zur Verfügung zu stellen.","Projekt-Webseite (https://tursics.de/app/kunterbunt/), Quelltext auf github (https://github.com/tursics/kunterbunt)",MIT license,Das Mosaik in einer luxuriösen Stadtvilla des römischen Köln,"application, game, remix, tool, web app","banner_0.png, CC BY-SA 3.0 DE, Rheinisches Bildarchiv Köln / Römisch Germanisches Museum Köln / Anja Wegner, bearbeitet + Thomas Tursics",Nieder.Rhein.Land 2021
Daumier auf neuen Wegen,https://codingdavinci.de/de/projekte/daumier-auf-neuen-wegen,Theater-Karikaturen von Daumier - unterwegs auf neuen (digitalen) Wegen,"Das Datenset besteht aus knapp 100 grafischen Blättern zum Thema Theater: Daumier karrikiert mit spitzer Feder die Theaterpraxis in Paris, Mitte des 19. Jahrhunderts.
Wir stellen die Karrikaturen von Honoré Daumier in einen neuen Kontext und schicken sie hinaus in die digitale Welt des 21. Jahrhunderts - über den Instagram-Kanal des Theatermuseums. Wir laden unser Publikum ein, selbst kreativ zu werden und Daumier auf seinem Weg, bei seiner digitalen Karriere zu folgen und zu unterstützen. Auf der Webseite des Theatermuseums schaffen wir bei den digitalen Angeboten einen Ort, wo man verschiedene Alben zu Motiven seiner Theaterkarikaturen auswählen und herunterladen kann - so zum Thema Mimik in Stücken der französischer Klassiker (Corneille, Racine, Voltaire), über das Publikum und die Welt hinter den Kulissen. Außerdem findet man dort Links zu kostenfreien Applikationen, mit denen wir bereits begonnen haben, die Karrikaturen zu gestalten, bevor wir sie auf die Reise schicken. Und dann sind wir einfach gespannt, ob Daumier auf diesem Weg Karriere macht und wohin sie ihn (und uns) führt!","Daumier auf neuen Wegen (https://www.duesseldorf.de/theatermuseum/daumier-auf-neuen-wegen.html), Instgagram-Kanal des Theatermuseums (https://www.duesseldorf.de/theatermuseum/daumier-auf-neuen-wegen.html)",,Grafiken von Honoré Daumier,remix,"daumier_theater.gif, public domain",Nieder.Rhein.Land 2021
Bilderbazar - Eine Zeitmaschine,https://codingdavinci.de/de/projekte/bilderbazar-eine-zeitmaschine,"Machine Learning zur Bergung der Abbildungen aus den PDFs, Anreicherung mit Metadaten und Bereitstellung für Recherche und kreative Anwendungen.","Räumliche Inszenierung mit den visuellen Inhalten der Zeitschrift.
Die gesammelten Ausgaben der Zeitschrift „Der Bazar“ beinhalten einen großen Schatz an Abbildungen, die Moden, Möbel, Muster und Maschinen des 19. Jh zeigen. Diese Abbildungen aus den PDFs zu extrahieren, mit Schlagworten zu versehen und somit den Datenschatz nutzbar zu machen soll Aufgabe des ersten Teils dieses Projektes sein.
Die so gewonnenen Daten sollen dann im zweiten Teil dazu verwendet werden, über Projektionen eine räumliche Inszenierung zu erschaffen, die die Bilderwelten der zweiten Hälfte des 19. Jh aufleben lässt.
Verknüpfung der gewonnen Daten mit realen Objekten der anderen Datensets von CDV:
Diese (projizierten) Bilderwelten des 19. Jh können beispielsweise mit einer Ausstellung der Uhren von Schloss Benrath oder mit Objekten (Schmuck) des MAKK kombiniert werden. So können die ausgestellten Objekte mit Kontextinformationen der Epoche gezeigt und in Bilderwelten der jeweiligen Zeit eingebettet werden.
 

Daten Teil
Extraktion, Kategorisierung, Segmentierung der visuellen Elemente in den vorhandenen Daten (PDFs) durch Mustererkennung und Machine Learning.
Ergebnis soll eine Datenbank sein, bei der die einzelnen Elemente der PDF-Scans extrahiert, frei gestellt und mit Metadaten versehen sind.
(Die gewonnen und angereicherten Daten können, falls gewünscht, in die Datenbank der Universitäts- und Landesbibliothek Düsseldorf übernommen werden.)

Beispiele Metadaten:
-Kategorie: (Bildszene, Mode, Möbel, Handarbeitsmuster, Schnittmuster, Technisches Gerät, Noten, Werbeanzeige ....) 
-Datum, Ausgabe, Seitennummer: durch OCR der Kopf-/Fußzeilen und Bildunterschriften.
 
Szenographischer Teil
Die gewonnenen Daten sollen über eine GameEngine visualisiert und in eine gebaute Kulisse projiziert werden.
Angelehnt an die 2,5 D Ästhetik der Papiertheater des 19. Jahrhunderts.",Github (https://github.com/wooolfy/daVinci),Apache License 2.0,"Kurfürstliche Zeitmesser - Uhren aus der Sammlung von Schloss Benrath, Schmuckobjekte, „Der Bazar“ – ein illustriertes Modejournal aus dem 19. Jh. mit zahlreichen Beilagen (Schnittmuster, Anleitungen für Handarbeiten, Neuestes zu Frisuren und Wohnaccessoires)","application, AR, remix, visualization, VR","1563_0.png, CC BY 3.0, Frank Horlitz",Nieder.Rhein.Land 2021
JULALA = Webanwendung + Malheft für Kinder und Erwachsene,https://codingdavinci.de/de/projekte/julala-webanwendung-malheft-fuer-kinder-und-erwachsene,"Wissen, Malen und Entspannen – Julala besteht aus einem Malheft zum Anfassen und einer Webanwendung, um Mandalas zu erstellen.","Die Idee:
ein Malheft mit einer Auswahl der Hogenberg’schen Grafiken und JULALAS (fantastische Details aus den Kupferstichen werden zu Mandalas)
die Webseite (inspiriert von PLANTALA) auf der man selbst Mandalas kreieren und ausdrucken kann
Aus dem Datensatz „Fürstlich Jülich‘sche Hochzeit“ entsteht ein Malheft für Kinder und Junggebliebene von 10 bis 100.
Mit JULALA gibt es eine Weiterführung ins Digitale. Inspiriert von dem Projekt PLANTALA entstand die Idee einzelne, besondere Details aus den Kupferstichen zu entnehmen und zu Mandalas zusammen fügen. Gerd und Anne übernehmen die Einbindung der Schwarz-Weiß-Grafiken in ihre Plantala-Medienstation. Mit der Webanwendung JULALA kann man die Details aus den Kupferstichen neu mixen, speichern, ausdrucken und ausmalen. Sowohl im Malheft als auch in der Webanwendung erhält man Wissen zu den Feierlichkeiten der „Fürstlich Jülich‘schen Hochzeit“ – DEM Düsseldorfer Großereignis des 16. Jahrhunderts
Hintergrund:
Die Grafiken zeigen spektakuläre Feuerwerke mitten auf dem Rhein, das erste szenische Singspiel in Düsseldorf und das berühmte Zuckerbankett.
Die Kupferstiche aus der Werkstatt von Franz Hogenberg sind sehr bedeutsam, da auf ihnen die ältesten Stadt- und Schlossansichten Düsseldorfs zu sehen sind.
Intension:
Mit dem Malheft und der Webseite JULALA wollen wir einen niederschwelligen Zugang schaffen zu den kulturhistorisch sehr bedeutsamen Kupferstichen von Franz Hogenberg aus dem Jahr 1587.
Aus den Kupferstichen entnehmen wir einzelne Elemente und lassen über die Webanwendung etwas Neues entstehen – die Mandalas oder eben Julalas.
Beim Ausmalen der Mandalas kann man die Details näher ergründen, ihre Symbolik hinterfragen oder einfach die Gedanken schweifen lassen.
Wir hoffen sehr, dass das Stadtmuseum Düsseldorf Spaß an dem Entstandenen findet und es weiter nutzen wird. Wir sind gern ber","JULALA (https://digitalwarenkombinat.github.io/julala), Malheft (https://www.yumpu.com/de/document/read/65935999/feuerwerk-und-julala)",MIT license,Die Fürstlich Jülich‘sche Hochzeit,"application, game, remix, storytelling, web app","pikto-julala_cdvuebersicht.png, CC BY 4.0, Liane Hellmund",Nieder.Rhein.Land 2021
Following Quedenfeldt,https://codingdavinci.de/de/projekte/following-quedenfeldt,Alte Fotografien von vor über 100 Jahren heute in Deiner Stadt nachgestellt,"Erwin Quedenfeldt (1869 - 1948) war ein promovierter deutscher Fotochemiker, Fotograf und Erfinder. Über 1.500 Fotografien Quedenfeldts wurden im Kulturhackathon Coding Da Vinci Nieder.Rhein.Land von der Heinrich-Heine-Universität bereitgestellt. Es entstand während des Kick-off-Wochenendes schnell die Idee, ""Hey, viele Standorte kenne ich doch - die sehen teilweise nur anders aus! Es wäre doch spannend im Vergleich zu sehen, wie die fotografierten Motive sich über die Zeit hinweg verändert haben. Lasst uns doch Möglichkeiten schaffen, diese alten Fotografien möglichst ursprungsgetreu nachbilden zu lassen!"". Noch am ersten Abend ist Michael in Köln losgezogen und hat die ersten Motive, wie den Gürzenich in Köln nachfotografiert.
Hierzu konnte die Open Camera App hervorragend genutzt werden, da sie die Möglichkeit bietet, bestehende digitale Bilder über den digitalen ""Sucher"" zu legen, was den Fotografen es erleichterte dieselben Kameraeinstellungen wie Bildausschnitt, Zoomeinstellung, Perspektive und Standort von Erwin Quedenfeldt einzunehmen.
Um die Fototouren besser zu planen, und Standorte der Fotografien leichter zu identifizieren, hat Michael die Metadatensätze genommen und mit Open Refine reguläre Ausdrücke formuliert um wahrscheinliche Straßen- und Adressbezeichnungen aus den Fotobeschreibungen Quedenfeldts herauszufiltern. Diese wurden dann gegen einen Geoserver und die Open Street Map Datenbank abgeglichen und das Resultat ausgewertet. Ca. 680 von 1.576 Ortsangaben waren damit sofort verfügbar, konnten auf der Karte dargestellt und Fotorouten für einzelne Orte erstellt werden.
Nun fehlte es nur noch an motivierten und engagierten Fotograf:innen, die die Standorte aufsuchten und die Fotografien nachstellten.","Projektwebseite Following Quedenfeldt (https://digitalneurons.de/Following_Quedenfeldt.html), Fotogalerie (http://digitalneurons.de:88/index.php?/category/4), Mobile Landingpage (https://tinyurl.com/followingQuedenfeldt), github Quedenfeldt Master Tabelle (https://github.com/digitalneurons/cdv), Twitter-Account Erwin Quedenfeldt (https://twitter.com/EQuedenfeldt), YouTube-Video Tutorial - Making of Following Quedenfeldt ""Zons"" (https://www.youtube.com/watch?v=f5aS3vGhEAE&amp;list=PLY5vdxy_KycZHYYlGHV0Q3JBMVSAS9Pjd&amp;index=1)",,Fotos vom Niederrhein aus dem frühen 20. Jahrhundert – die Sammlung des Fotografen Erwin Quedenfeldt (1869-1948),"data enrichment, storytelling, website","2021-10-11-13_07_59-following-quedenfeldt-_-coding-da-vinci.jpg, CC BY 3.0 DE, Michael Cieslik",Nieder.Rhein.Land 2021
Ephemeral,https://codingdavinci.de/de/projekte/ephemeral,Wir schenken ehemaligem Notgeld durch die Aufbereitung der Scheine als NFT Kunstwerke erneut einen Wert.,"Unser Projekt Ephemeral setzt sich kritisch mit spekulativen Vermögenswerten auseinander. Wir haben uns das Ziel gesetzt, den immateriellen sowie emotionalen Wert einer Währung unter besonderer Berücksichtigung des geschichtlichen Kontextes, in Frage zu stellen. 
Wir verwenden den Datensatz ""Notgeldsammlung"" des Stadtarchiv Rendsburg. Die Geldersatzscheine wurden Anfang des 20. Jh. während der Hyperinflation und des Ersten Weltkrieges herausgegeben. Das aufwändig gestaltete Ersatzgeld verlor zeit­wei­lig so schnell an Wert, dass der ursprüngliche Zahlenwert überdruckt werden musste. Die Scheine dienen heutzutage als Sammelobjekte und erinnern an die damaligen Missstände.
Gleichzeitig hat kaum ein Thema die Kunstszene so aufgemischt und polarisiert wie NFTs. Käufer:innen geben abstruse Mengen für ""digitale Originale"" aus, obwohl sie nur darauf spekulieren können, dass dieser angebliche Wert Bestand haben wird.
Der Kontrast zwischen der absoluten Not und spekulativen Wertanlagen schafft einen spannenden Diskurs. Wir stellen unsere Notgeld-NFTs auf unserer Projekt-Webseite vor. Die User werden dort über die Potentiale und Kritikpunkte der NFT Technologie aufgeklärt und haben die Möglichkeit ihr eigenes Krypto-Notgeld in Form eines NFTs zu erwerben. Zusätzlich erfahren sie spannende Informationen über die abgebildeten Rendsburger Motive auf den Scheinen. 
Die Erträge der NFTs werden an Klimaschutz-Organisationen gespendet.","GitLab Projekt (https://git.chaotikum.org/Annika_D/nft-notgeld), Figma Prototyp (https://www.figma.com/proto/Bmu1zrHSehCIjV4cr7tbtL/NFT-Notgeld?page-id=578%3A2&amp;node-id=578%3A11&amp;viewport=291%2C818%2C0.2594987750053406&amp;scaling=min-zoom), Projekt Website (https://annika_d.pages.chaotikum.org/nft-notgeld)",,Notgeldsammlung,"visualization, website","1-nft-2.gif, CC BY-SA 4.0, Annika Drießen",Schleswig-Holstein 2021
Der Münzschatz von Westerland,https://codingdavinci.de/de/projekte/der-muenzschatz-von-westerland,"Eine interaktive Installation, um den Münzschatz von Westerland zu erkunden.","Das Exponat thematisiert den »Schatzfund von Westerland« und informiert anhand von Visualisierungen über dessen Münzen und deren Weg zum Fundort. Die Installation setzt sich sowohl aus einer analogen, als auch aus einer digitalen Ebene zusammen. Die analoge Ebene lädt, durch seine Fernwirkung, zum Exponat ein. Mittels eines Plakats wird man sowohl über verschiedene Eigenschaften der Münzen informiert. Anhand der digitalen Ebene, welche einen interaktiven Tisch darstellt, kann man sich durch eine Vielzahl von Informationsansichten bewegen. So wird der Schatz in seinem ganzen Ausmaß gezeigt und jede Münze lässt sich auswählen und betrachten. Da der Schatz nicht physisch ausgestellt wird, gibt diese Installation die Möglichkeit ihn digital zu erkunden. Die Navigation wird durch ein Touchpad unterstützt und der oder die Betrachter:in hat die Möglichkeit sich unter anderem über die Münzen des Schatzes, deren Produktionsstätte und Handelsrouten informieren.","https://git.chaotikum.org/rmounes/der-muenzschatz-von-westerland (https://git.chaotikum.org/rmounes/der-muenzschatz-von-westerland), Video des Prototyps auf Vimeo (https://vimeo.com/560923814)",,Der Schatzfund von Westerland,"remix, visualization","bild1_muenzen_zeichenflache-1.png, CC BY 3.0, Ramona Wahl",Schleswig-Holstein 2021
Vogelkieker - Vogelbeobachtungen Sylt,https://codingdavinci.de/de/projekte/vogelkieker-vogelbeobachtungen-sylt,Kiek mol! Wir visualisieren das Vogelaufkommen auf der Insel Sylt. Entdecke die Vogelarten und lerne sie kennen.,"In unserem Projekt Vogelkieker – Vogelbeobachtungen Sylt verbinden wir die zwei Datensets des „Erlebniszentrum Naturgewalten Sylt“: Die Zähldaten und die Fotodaten der Vögel.
Wir haben unser Projekt als Onepager umgesetzt. Diesen scrollen die User*innen anders als üblich von unten nach oben und heben zusammen mit den Vögeln ab. Die Daten sind auf unserer Website verständlich und ästhetisch aufbereitet. Hierzu dienen eigens dafür angefertigte Illustrationen, Icons, eine Karte von Sylt und interaktive Visualisierungen.
In der Galerie können die Vögel anhand von den Fotos und unseren Illustrationen kennengelernt werden. Auf anschließenden Profilseiten erfahren die Betrachter*innen mehr über die Arten, ihre Eigenschaften und Besonderheiten. Mit interaktiven Infografiken können die User*innen selbst nach bestimmten Vogelarten, Gebieten, Zeiten, Hochwasserständen und Witterungen filtern und sich so die Daten aufregend gestaltet ansehen.
Die Zähldaten sollen laufend aktualisiert werden, sodass sich Vogelliebhaber*innen aus aller Welt über den derzeitigen Bestand informieren können. Abschließend haben die User*innen die Möglichkeit sich ein eigenes Logbuch anzulegen, um so selbst zu Vogelkieker*innen zu werden.
Für unsere Umsetzung haben wir uns zunächst auf fünf Möwenarten konzentriert. Eine Erweiterung auf weitere Vögel und Gebiete ist in Planung.",GitLab (https://git.chaotikum.org/keillena/du-hast-n-vogel),BSD 3-Clause „New“ or „Revised“ license,"Vogelfotos, Vogelzähldaten des Erlebniszentrums Naturgewalten Sylt","storytelling, visualization, web app, website","profilbidl_zeichenflache-1_quad_1.png, CC BY 4.0, Vogelkieker-Team",Schleswig-Holstein 2021
Numisma,https://codingdavinci.de/de/projekte/numisma,"Dieses Rätselspiel bietet die Möglichkeit, interaktiv verschiedene Datensätze zu erleben. Mit Spielspaß kombiniert, erlebt jede*r ein Stück Geschichte","Als Boy Matthiessen, ein Student des 19. Jahrhunderts, eines Morgens aufwacht, sind die wertvollen Münzen, die sein Vater ihm zur Verwahrung anvertraut hat, verschwunden. Jetzt muss er sich auf die Suche machen, wer letzte Nacht beim Feiern die Münzen mitgenommen hat. Du musst ihm helfen, die Bewohner des Studentenwohnheims zu identifizieren, indem du mit ihm deren Zimmer durchsuchst und die Hinweise richtig verknüpfst.
Was uns an der Idee eines Rätselgames besonders reizte, war die Möglichkeit, verschiedenste technische wie künstlerische Skills in einem Projekt zu vereinen. Gerade diese Kombination von IT & Kunst/Kultur war uns wichtig, um die Idee des ""Coding da Vinci""-Hackathons widerzuspiegeln. Wir haben die Matrikeldaten gewählt, da wir es faszinierend fanden, so weit in der Zeit zurückzublicken und doch etwas mit den historischen Personen gemeinsam zu haben: die Studienzeit. Dann fiel uns auf, dass mehrere Datensätze aus dem späten 19. Jahrhundert stammen und somit verschiedene Perspektiven auf dieselbe Epoche ermöglichen. Die Vielfalt der Datensätze bildet außerdem die Interessenvielfalt und die unterschiedlichen familiären Hintergründe der Studenten ab.
Unser Ziel ist, Rätselbegeisterte spielerisch auf die Datensätze aufmerksam zu machen und zu einer weiterführenden persönlichen Recherche von Informationen anzuregen, mit denen man sonst im Alltag selten in Berührung kommt. Um den Bildungscharakter und den Spaßfaktor im Gleichgewicht zu halten, haben wir uns an historischen Gegebenheiten des 19. Jahrhunderts orientiert, aber auch einige Details der künstlerischen Freiheit überlassen. Links zu den bereitgestellten Daten sind im Hauptmenü des Spiels abrufbar. Damit jede*r Interessierte auch die Möglichkeit hat, das Spiel zu spielen, ist es im Browser verfügbar und auf jedem Computer spielbar.
Wir würden sehr gerne auch in Zukunft an dem Spiel arbeiten und es um mehr Datensätze, Räume, Rätsel und Sprachen erweitern.","Numisma im Browser spielen (https://liktoria.gitlab.io/numisma), Git-Repository (https://gitlab.com/Liktoria/numisma)",MIT license,"Der Schatzfund von Westerland, Gattungslehre und Abbildungen von Insekten, Matrikeldaten der CAU, Stormarnsche Zeitung","application, game, storytelling, website","numismatitelbild2_0.png, CC BY-SA 4.0, Numisma CDV SH 2021",Schleswig-Holstein 2021
Schaufel und Schweiß,https://codingdavinci.de/de/projekte/schaufel-und-schweiss,Arbeitergeschichten vom Nord-Ostsee-Kanal,"Es werden unterschiedliche Geschichten aus der Sicht der Arbeiter erzählt, die vor über 125 Jahren den Nord-Ostsee-Kanal bauten und damit eine für damalige Verhältnisse größenwahnsinnige Vision in die Wirklichkeit umsetzten. Dabei hat jeder der Arbeiter einen anderen Beruf und zeigt, wie vielfältig die Arbeit am Kanal war. Die Texte der Arbeiter sind fiktiv, beruhen aber auf historischen Quellen und Fakten. Sie berichten aus ihrem Alltag, von ihrer Arbeit bis hin zu dem damaligen Lebensumständen. So kann man in das damalige Arbeiterleben eintauchen und es lebendig erleben. Um noch eine weitere Dimension hinzuzufügen, haben wir alle Berichte der Arbeiter als zusätzliche Option in deren Muttersprache übersetzt, von Friesisch und Platt bis hin zu Polnisch, Italienisch und Niederländisch. Die Texte werden von Muttersprachlern eingelesen und auf der Website abgespielt werden können.
In Zusammenarbeit mit dem Maritimen Viertel e.V. haben wir auf Grundlage des vom Verein bereitgestellten Bilddatensatz eine Website konzipiert, die ihren Fokus auf die historischen Aufnahmen und ein damit verbundenes Storytelling legt. Passend zu den vorhandenen Fotots haben wir Illustrationen erstellt und animiert, um die Seite noch lebendiger und interessanter zu gestalten. Wir kooperieren außerdem mit der KN-Redakteurin Heike Thode-Scheel, die uns in inhaltlicher Recherche und durch die Erarbeitung von Texten für unser Storytelling zur Seite steht.
Die Website soll auf der Jubiläumsausstellung ""125(+1) Jahre Nord-Ostseekanal"" vom Maritimen Viertel e.V. gezeigt werden. Es sind außerdem Poster denkbar, die sich in Ausstellungen integrieren lassen und mittels AR zugreifbar sind. Außerdem könnte die Website aufgrund ihrer plattdeutschen Texte an Schulen weiterverwendet werden, die Platt in ihrem Lehrplan haben.
Wir sind keine Programmierer*innen, sondern haben nur ein grundlegendes Wissen über HTML und CSS und haben unsere Website mithilfe von Webflow erstellt. ","Zugang zum Repository (https://git.chaotikum.org/theresa/schaufel-und-schweiss), Probe-Website (https://schaufel-und-schweiss.webflow.io/)",Common Development and Distribution License,125 Jahre Nord-Ostsee-Kanal: Wer baute ihn?,"storytelling, visualization, website","unbenannt-1_zeichenflache-1-kopie-2.png, CC BY 3.0 DE",Schleswig-Holstein 2021
